time,open,high,low,close,
06/04/2012 0:00,1.3067,1.31098,1.30503,1.30964,59861
08/04/2012 0:00,1.30985,1.31039,1.30337,1.30694,25670
09/04/2012 0:00,1.30692,1.3144,1.30481,1.31311,120309
10/04/2012 0:00,1.31311,1.31376,1.30538,1.30948,231347
11/04/2012 0:00,1.30945,1.31562,1.30879,1.31322,211760
12/04/2012 0:00,1.31322,1.32123,1.3102,1.3168,213863
13/04/2012 0:00,1.3168,1.31835,1.30692,1.30755,170986
15/04/2012 0:00,1.30632,1.30748,1.30089,1.30173,41127
16/04/2012 0:00,1.3017,1.31465,1.29958,1.31155,231537
17/04/2012 0:00,1.31152,1.31692,1.30902,1.31146,213802
18/04/2012 0:00,1.31141,1.3136,1.30572,1.31157,216253
19/04/2012 0:00,1.31157,1.31608,1.30699,1.31441,241699
20/04/2012 0:00,1.31442,1.32263,1.31285,1.32159,184199
22/04/2012 0:00,1.31817,1.32101,1.3181,1.31953,31209
23/04/2012 0:00,1.31953,1.31968,1.31045,1.31587,214780
24/04/2012 0:00,1.31587,1.32173,1.31485,1.31943,202784
25/04/2012 0:00,1.31943,1.32359,1.31736,1.32237,206793
26/04/2012 0:00,1.32237,1.32625,1.31765,1.31858,215268
27/04/2012 0:00,1.31856,1.32698,1.3157,1.32535,180213
29/04/2012 0:00,1.32333,1.32515,1.323,1.32492,28767
30/04/2012 0:00,1.32485,1.32663,1.32078,1.32496,188798
01/05/2012 0:00,1.32496,1.32828,1.32039,1.32229,149085
02/05/2012 0:00,1.32226,1.32296,1.31248,1.31459,199882
03/05/2012 0:00,1.31458,1.31791,1.3099,1.31473,190963
04/05/2012 0:00,1.31473,1.3178,1.30799,1.30824,157036
06/05/2012 0:00,1.30091,1.30321,1.2955,1.2977,60938
07/05/2012 0:00,1.2977,1.30652,1.29768,1.30309,203204
08/05/2012 0:00,1.30309,1.30407,1.2965,1.29692,244711
09/05/2012 0:00,1.29693,1.29979,1.29107,1.29518,260493
10/05/2012 0:00,1.29518,1.29785,1.29045,1.29251,236460
11/05/2012 0:00,1.29248,1.29572,1.2905,1.29153,176396
13/05/2012 0:00,1.28976,1.29042,1.28787,1.28866,41525
14/05/2012 0:00,1.28868,1.28968,1.28138,1.2826,227815
15/05/2012 0:00,1.2826,1.28686,1.27004,1.27137,249226
16/05/2012 0:00,1.27137,1.27585,1.26811,1.27417,271678
17/05/2012 0:00,1.27417,1.27484,1.26587,1.26639,271719
18/05/2012 0:00,1.26639,1.27936,1.26415,1.27826,220620
20/05/2012 0:00,1.27605,1.28125,1.2748,1.27888,48329
21/05/2012 0:00,1.2789,1.28236,1.2725,1.2785,235668
22/05/2012 0:00,1.27851,1.28073,1.2645,1.26722,276816
23/05/2012 0:00,1.26722,1.26868,1.25448,1.25717,286120
24/05/2012 0:00,1.25718,1.26188,1.25154,1.25292,283718
25/05/2012 0:00,1.25292,1.26017,1.24984,1.25151,202848
27/05/2012 0:00,1.25726,1.25968,1.25595,1.25924,43166
28/05/2012 0:00,1.25924,1.2624,1.2509,1.25339,174673
29/05/2012 0:00,1.25337,1.25741,1.24569,1.24682,264137
30/05/2012 0:00,1.24682,1.24804,1.23575,1.23867,273187
31/05/2012 0:00,1.23867,1.24281,1.23232,1.23475,270745
01/06/2012 0:00,1.23474,1.24481,1.22913,1.24328,241757
03/06/2012 0:00,1.24128,1.24418,1.23856,1.24033,48066
04/06/2012 0:00,1.24033,1.25417,1.23995,1.25248,227543
05/06/2012 0:00,1.25248,1.25304,1.24098,1.25024,255766
06/06/2012 0:00,1.25024,1.25851,1.24416,1.25639,263344
07/06/2012 0:00,1.25639,1.26249,1.25134,1.25237,272283
08/06/2012 0:00,1.2524,1.25263,1.24353,1.25159,192551
10/06/2012 0:00,1.26385,1.26676,1.26169,1.26345,54186
11/06/2012 0:00,1.26345,1.26469,1.245,1.24964,256794
12/06/2012 0:00,1.24963,1.25287,1.24425,1.24889,268781
13/06/2012 0:00,1.24888,1.26098,1.24855,1.25808,266410
14/06/2012 0:00,1.25808,1.26463,1.25415,1.26392,256496
15/06/2012 0:00,1.26392,1.26642,1.2592,1.26381,188408
17/06/2012 0:00,1.26918,1.27474,1.26726,1.27058,56552
18/06/2012 0:00,1.27058,1.27247,1.25592,1.26124,258656
19/06/2012 0:00,1.26124,1.27302,1.25687,1.26727,251640
20/06/2012 0:00,1.26725,1.27408,1.26383,1.26707,258329
21/06/2012 0:00,1.26703,1.26985,1.25313,1.25532,265175
22/06/2012 0:00,1.25531,1.2583,1.25188,1.25669,185463
24/06/2012 0:00,1.25432,1.25577,1.25281,1.25369,24034
25/06/2012 0:00,1.25368,1.25368,1.24709,1.25027,218695
26/06/2012 0:00,1.25027,1.253,1.24416,1.25021,233878
27/06/2012 0:00,1.2502,1.25239,1.2445,1.25159,212848
28/06/2012 0:00,1.25159,1.26202,1.24071,1.25743,268757
29/06/2012 0:00,1.25745,1.26924,1.25527,1.26598,233653
01/07/2012 0:00,1.2675,1.26777,1.26147,1.2625,39913
02/07/2012 0:00,1.2625,1.26672,1.25679,1.2593,219734
03/07/2012 0:00,1.25932,1.26269,1.25586,1.25891,192463
04/07/2012 0:00,1.25891,1.26004,1.25082,1.2529,154102
05/07/2012 0:00,1.2529,1.25368,1.23638,1.23807,235755
06/07/2012 0:00,1.23806,1.24008,1.22596,1.2285,187156
08/07/2012 0:00,1.22584,1.22961,1.22558,1.22863,38524
09/07/2012 0:00,1.22862,1.23227,1.2271,1.22843,206883
10/07/2012 0:00,1.22843,1.23336,1.2235,1.22574,219687
11/07/2012 0:00,1.22574,1.22963,1.2212,1.22387,226359
12/07/2012 0:00,1.22388,1.22428,1.2167,1.22069,236232
13/07/2012 0:00,1.22069,1.22546,1.2162,1.22483,175111
15/07/2012 0:00,1.22646,1.22715,1.22313,1.22369,25944
16/07/2012 0:00,1.22368,1.23129,1.21755,1.22926,208102
17/07/2012 0:00,1.22927,1.23149,1.21885,1.22877,225214
18/07/2012 0:00,1.22877,1.22966,1.22165,1.22858,230221
19/07/2012 0:00,1.22858,1.23209,1.22288,1.22595,234307
20/07/2012 0:00,1.22595,1.2277,1.21443,1.21563,177260
22/07/2012 0:00,1.21143,1.21337,1.2105,1.21139,51637
23/07/2012 0:00,1.21139,1.21442,1.20684,1.21258,246044
24/07/2012 0:00,1.2126,1.21315,1.20419,1.20762,243109
25/07/2012 0:00,1.20759,1.21674,1.20531,1.21382,250493
26/07/2012 0:00,1.21381,1.23284,1.21172,1.22895,249638
27/07/2012 0:00,1.22895,1.23899,1.22416,1.23182,229969
29/07/2012 0:00,1.22946,1.23102,1.22835,1.2287,34177
30/07/2012 0:00,1.2287,1.22968,1.22246,1.22822,211928
31/07/2012 0:00,1.22823,1.23291,1.2248,1.22915,180028
01/08/2012 0:00,1.22915,1.23362,1.2217,1.22498,168135
02/08/2012 0:00,1.22497,1.23888,1.21339,1.21754,224441
